konto 1 (Doris Kruth, id 4111194444, kundnr 1): 499150.0
konto 2790 (Lena Efternamn3339, id 199810252388, kundnr 2790): 215006.0
konto 2791 (Adam Efternamn2318, id 199812302397, kundnr 2791): 215028.0
konto 2792 (Lotta Efternamn3500, id 199903102383, kundnr 2792): 325010.0
konto 2793 (Lena Efternamn2370, id 199905282381, kundnr 2793): 212104.0
konto 2794 (Adrian Efternamn3231, id 199905312394, kundnr 2794): 215028.0
konto 2795 (Zak Efternamn1607, id 199906142394, kundnr 2795): 324024.0
konto 2796 (Elin Efternamn1099, id 199906272381, kundnr 2796): 215006.0
konto 2797 (Mike Efternamn2351, id 199907192398, kundnr 2797): 215024.0
konto 2798 (Pia Efternamn2833, id 199908172381, kundnr 2798): 215024.0
konto 2799 (Axel Efternamn3617, id 199908222392, kundnr 2799): 215028.0
konto 2800 (Maria Anna Lovisa Efternamn1160, id 200001153022, kundnr 2800): 215020.0
konto 2801 (Jonas Efternamn2041, id 200005262399, kundnr 2801): 324023.0
konto 2802 (Milo Efternamn1455, id 200008012395, kundnr 2802): 215028.0
konto 2803 (Malin Efternamn3527, id 200008192387, kundnr 2803): 212104.0
konto 2804 (Louis Efternamn3292, id 200102042397, kundnr 2804): 215028.0
konto 2805 (George Efternamn1859, id 200104052394, kundnr 2805): 215028.0
konto 2806 (Elin Efternamn1385, id 198308182388, kundnr 2806): 325010.0
konto 2807 (Telma Efternamn3048, id 198308222382, kundnr 2807): 215006.0
konto 2808 (Elli Efternamn2867, id 198310192383, kundnr 2808): 325010.0
konto 2809 (Ali Efternamn3049, id 198311022399, kundnr 2809): 325010.0
konto 2810 (Ellie Efternamn2849, id 198311232386, kundnr 2810): 325010.0
konto 2811 (Alvar Efternamn2870, id 198401142396, kundnr 2811): 325010.0
konto 2812 (Alena Efternamn1031, id 198401182384, kundnr 2812): 325010.0
konto 2813 (Harald Efternamn3054, id 198401232395, kundnr 2813): 215006.0
konto 2814 (Moa Efternamn1151, id 198906142388, kundnr 2814): 215028.0
konto 2815 (Angelina Efternamn1769, id 198906202380, kundnr 2815): 215028.0
konto 2816 (Tarik Efternamn3578, id 198906232395, kundnr 2816): 215028.0
konto 2817 (Erika Efternamn3963, id 199001272385, kundnr 2817): 215025.0
konto 2818 (Erika Efternamn3964, id 199001302380, kundnr 2818): 325010.0
konto 2819 (Amie Efternamn1388, id 198402272382, kundnr 2819): 215028.0
konto 2820 (Henry Efternamn1958, id 198403072393, kundnr 2820): 324024.0
konto 2821 (Hans Krister Mats Efternamn1391, id 198404222393, kundnr 2821): 215024.0
konto 2822 (Emma Maria Efternamn1212, id 198405062384, kundnr 2822): 325010.0
konto 2823 (Jesper Olof Efternamn1212, id 198405062392, kundnr 2823): 325010.0
konto 2824 (Anna Efternamn2335, id 198405212385, kundnr 2824): 215028.0
konto 2825 (Ylva Efternamn2871, id 198405222384, kundnr 2825): 212104.0
konto 2826 (Albert Efternamn3643, id 198405262398, kundnr 2826): 215024.0
konto 2827 (Jenny Helena Efternamn3831, id 198405282388, kundnr 2827): 325016.0
konto 2828 (Almir Efternamn3436, id 198406092398, kundnr 2828): 325010.0
konto 2829 (Johanna Kristin Efternamn1036, id 198406192388, kundnr 2829): 215028.0
konto 2830 (Altin Efternamn3647, id 198406279292, kundnr 2830): 325010.0
konto 2831 (Elvina Efternamn3833, id 198407072381, kundnr 2831): 325010.0
konto 2832 (Carina Efternamn1584, id 198408099284, kundnr 2832): 215006.0
konto 2833 (Teodor Efternamn3835, id 198408152398, kundnr 2833): 212104.0
konto 2834 (Arne Efternamn3031, id 198409032391, kundnr 2834): 325010.0
konto 2835 (Aron Efternamn1585, id 198409172395, kundnr 2835): 325010.0
konto 2836 (Bogdan Efternamn2714, id 198409252395, kundnr 2836): 215028.0
konto 2837 (Esmeralda Efternamn3260, id 198410172384, kundnr 2837): 324024.0
konto 2838 (Markus Pierre Efternamn2163, id 198411202396, kundnr 2838): 212104.0
konto 2839 (Emelie Efternamn2342, id 198411292389, kundnr 2839): 325010.0
konto 2840 (Helmut Efternamn2343, id 198412012398, kundnr 2840): 215025.0
konto 2841 (Tobias Efternamn2152, id 198412122395, kundnr 2841): 215028.0
konto 2842 (Axel Efternamn1219, id 198412202395, kundnr 2842): 215028.0
konto 2843 (Arwid Efternamn1780, id 198501192390, kundnr 2843): 215028.0
konto 2844 (Nanna Efternamn1182, id 198501312386, kundnr 2844): 215025.0
konto 2845 (Baran Efternamn2852, id 198502132395, kundnr 2845): 324024.0
konto 2846 (Lina Efternamn3441, id 198502262382, kundnr 2846): 215028.0
konto 2847 (Julia Kristina Efternamn3053, id 198503072384, kundnr 2847): 325015.0
konto 2848 (Anthony Efternamn1222, id 198503112396, kundnr 2848): 324024.0
konto 2849 (Benjamin Efternamn1049, id 198504032395, kundnr 2849): 324024.0
konto 2850 (Niklas Efternamn1223, id 198504042394, kundnr 2850): 212104.0
konto 2851 (Alicia Efternamn1968, id 198504112387, kundnr 2851): 215028.0
konto 2852 (Patrick Efternamn2498, id 198505112394, kundnr 2852): 215020.0
konto 2853 (Christian Efternamn1594, id 198506162398, kundnr 2853): 325010.0
konto 2854 (Håkan Efternamn2885, id 198507022393, kundnr 2854): 212104.0
konto 2855 (Harry Efternamn3636, id 198507112392, kundnr 2855): 325016.0
konto 2856 (Eddie Efternamn2522, id 198507302399, kundnr 2856): 212104.0
konto 2857 (Mathilda Efternamn1962, id 198508102384, kundnr 2857): 215025.0
konto 2858 (Mira Efternamn2890, id 198509129881, kundnr 2858): 212104.0
konto 2859 (Linnie Efternamn1188, id 198509252386, kundnr 2859): 212104.0
konto 2860 (Fredrica Efternamn1228, id 198510262382, kundnr 2860): 215028.0
konto 2861 (Estelle Efternamn1978, id 198510312385, kundnr 2861): 324024.0
konto 2862 (Martin Efternamn1052, id 198511222393, kundnr 2862): 215028.0
konto 2863 (Jana Efternamn1207, id 198511252382, kundnr 2863): 325010.0
konto 2864 (Joel Efternamn1600, id 198511302393, kundnr 2864): 325010.0
konto 2865 (Bogdan Efternamn1979, id 198512102396, kundnr 2865): 324024.0
konto 2866 (Boris Efternamn3223, id 198512202394, kundnr 2866): 324024.0
konto 2867 (Kalle Efternamn1000, id 198601132395, kundnr 2867): 212104.0
konto 2868 (Robertino Efternamn3027, id 198601182390, kundnr 2868): 324023.0
konto 2869 (Anna Charlotte Efternamn1182, id 198602092382, kundnr 2869): 324023.0
konto 2870 (Magnus Efternamn3609, id 198603272397, kundnr 2870): 212104.0
konto 2871 (Magdalena Efternamn1184, id 198603292387, kundnr 2871): 325015.0
konto 2872 (Mei Efternamn3800, id 198604162381, kundnr 2872): 215028.0
konto 2873 (Marina Efternamn1366, id 198604172380, kundnr 2873): 215032.0
konto 2874 (Mariuana Anita Efternamn1745, id 198604242381, kundnr 2874): 324024.0
konto 2875 (Kateryna Efternamn2313, id 198604272388, kundnr 2875): 325010.0
konto 2876 (Rita Ottilia Efternamn2471, id 198605122384, kundnr 2876): 324024.0
konto 2877 (Jasmin Britt-Louise Efternamn3612, id 198606202383, kundnr 2877): 215028.0
konto 2878 (Oliwia Efternamn1562, id 198607022384, kundnr 2878): 215028.0
konto 2879 (Victor Frank Efternamn3614, id 198607102392, kundnr 2879): 215025.0
konto 2880 (Nour Efternamn3034, id 198607192385, kundnr 2880): 215028.0
konto 2881 (Maja Efternamn3806, id 198608062389, kundnr 2881): 212104.0
konto 2882 (Magnus Efternamn3629, id 198609042398, kundnr 2882): 212104.0
konto 2883 (Izabel Efternamn3043, id 198610102389, kundnr 2883): 215028.0
konto 2884 (Jesper Maximilian Efternamn1946, id 198610112396, kundnr 2884): 324024.0
konto 2885 (Thierry Efternamn2859, id 198611022396, kundnr 2885): 212104.0
konto 2886 (Frida Efternamn3820, id 198611302384, kundnr 2886): 215028.0
konto 2887 (Claes Efternamn2326, id 198612012396, kundnr 2887): 324024.0
konto 2888 (Ylle Efternamn2854, id 198612142391, kundnr 2888): 215016.0
konto 2889 (Stig Efternamn2700, id 198612152390, kundnr 2889): 212104.0
konto 2890 (Klara Efternamn3247, id 198612182389, kundnr 2890): 215020.0
konto 2891 (Arne Efternamn2316, id 198701042395, kundnr 2891): 212104.0
konto 2892 (Birgitta Efternamn3616, id 198701192380, kundnr 2892): 215006.0
konto 2893 (Ellen Efternamn2317, id 198701262381, kundnr 2893): 212104.0
konto 2894 (Tiffany Efternamn1749, id 198702032387, kundnr 2894): 215028.0
konto 2895 (Axel Efternamn3617, id 198703032394, kundnr 2895): 215028.0
konto 2896 (Carmen Efternamn2474, id 198703192388, kundnr 2896): 215028.0
konto 2897 (Harry Efternamn1372, id 198704142390, kundnr 2897): 215028.0
konto 2898 (Xena Efternamn1193, id 198705032384, kundnr 2898): 215028.0
konto 2899 (Nadja Efternamn1941, id 198705182387, kundnr 2899): 212104.0
konto 2900 (Gabrielle Efternamn1378, id 198705262387, kundnr 2900): 215028.0
konto 2901 (Inga-Lisa Bumbumba Efternamn3237, id 198705302381, kundnr 2901): 212103.0
konto 2902 (Berta Efternamn1015, id 198706092387, kundnr 2902): 212104.0
konto 2903 (Grommit Efternamn3414, id 198706242396, kundnr 2903): 215028.0
konto 2904 (Dennis Efternamn2319, id 198707022391, kundnr 2904): 215028.0
konto 2905 (Björne Efternamn2691, id 198707132398, kundnr 2905): 324024.0
konto 2906 (Märta Efternamn1943, id 198707192384, kundnr 2906): 212104.0
konto 2907 (Malte Efternamn1755, id 198708192391, kundnr 2907): 325010.0
konto 2908 (Erika Efternamn3618, id 198710022388, kundnr 2908): 212104.0
konto 2909 (Dina Efternamn2694, id 198710062384, kundnr 2909): 215028.0
konto 2910 (Pamela Efternamn2322, id 198710172381, kundnr 2910): 215028.0
konto 2911 (Edit Efternamn3817, id 198711102387, kundnr 2911): 215024.0
konto 2912 (Anton Efternamn2128, id 198712122392, kundnr 2912): 215028.0
konto 2913 (Helmy Efternamn3410, id 198801032387, kundnr 2913): 215024.0
konto 2914 (Edvard Efternamn2462, id 198803052391, kundnr 2914): 215028.0
konto 2915 (Aaron Efternamn3984, id 198804222399, kundnr 2915): 215028.0
konto 2916 (Laila Efternamn3601, id 198805122382, kundnr 2916): 215028.0
konto 2917 (Henny Efternamn1744, id 198805312389, kundnr 2917): 215028.0
konto 2918 (Lena Efternamn2229, id 198806032382, kundnr 2918): 215024.0
konto 2919 (Elias Efternamn3791, id 198806192392, kundnr 2919): 215028.0
konto 2920 (Joline Efternamn1922, id 198806202381, kundnr 2920): 215028.0
konto 2921 (Alma Efternamn2852, id 198807072387, kundnr 2921): 215028.0
konto 2922 (Dylan Efternamn1550, id 198807092393, kundnr 2922): 215028.0
konto 2923 (Viggo Efternamn3603, id 198808062395, kundnr 2923): 215028.0
konto 2924 (Rufus Efternamn3618, id 198808132396, kundnr 2924): 215028.0
konto 2925 (Jonas Efternamn3266, id 198808282399, kundnr 2925): 215028.0
konto 2926 (Eliaz Efternamn3287, id 198810042393, kundnr 2926): 215028.0
konto 2927 (Mia Efternamn3988, id 198811232381, kundnr 2927): 212104.0
konto 2928 (Michelle Efternamn2095, id 198810182389, kundnr 2928): 215028.0
konto 2929 (Jack Efternamn3252, id 198901182397, kundnr 2929): 215028.0
konto 2930 (Ulla Efternamn3288, id 198901222383, kundnr 2930): 212104.0
konto 2931 (Dan Efternamn1173, id 198901232390, kundnr 2931): 215028.0
konto 2932 (Margareta Efternamn1756, id 198902132383, kundnr 2932): 212104.0
konto 2933 (Kira Efternamn3678, id 198902192387, kundnr 2933): 215028.0
konto 2934 (Tomlina Efternamn1360, id 198902272387, kundnr 2934): 215028.0
konto 2935 (Tina Efternamn3618, id 198903062381, kundnr 2935): 325010.0
konto 2936 (Jasper Efternamn2560, id 198903072398, kundnr 2936): 215028.0
konto 2937 (Sofie Efternamn3633, id 198903132382, kundnr 2937): 215028.0
konto 2938 (Avita Efternamn1738, id 198904012385, kundnr 2938): 215028.0
konto 2939 (Vivian Efternamn3687, id 198904052381, kundnr 2939): 215006.0
konto 2940 (Lars Efternamn1182, id 198204012390, kundnr 2940): 215025.0
konto 2941 (Annie Efternamn1442, id 198204022381, kundnr 2941): 215006.0
konto 2942 (Olga Efternamn2682, id 198204232386, kundnr 2942): 215006.0
konto 2943 (Jenny Efternamn3648, id 198204272382, kundnr 2943): 212104.0
konto 2944 (Irene Efternamn2748, id 198205192381, kundnr 2944): 215006.0
konto 2945 (Mona Efternamn2509, id 198205262382, kundnr 2945): 215028.0
konto 2946 (Malin Efternamn2152, id 198205292389, kundnr 2946): 215028.0
konto 2947 (Casandra Efternamn1444, id 198205312385, kundnr 2947): 212104.0
konto 2948 (Diana Efternamn3240, id 198206052386, kundnr 2948): 215028.0
konto 2949 (Karl-Alfred Efternamn2332, id 198206072392, kundnr 2949): 215025.0
konto 2950 (Melker Efternamn2562, id 198206102397, kundnr 2950): 212104.0
konto 2951 (Bertil Efternamn2704, id 198206142393, kundnr 2951): 212104.0
konto 2952 (Nicole Erica Efternamn2475, id 198207192389, kundnr 2952): 324024.0
konto 2953 (Minna Elise Efternamn2861, id 198207262380, kundnr 2953): 215028.0
konto 2954 (Zahra Efternamn1369, id 198208082381, kundnr 2954): 215028.0
konto 2955 (Verner Efternamn2200, id 198209022394, kundnr 2955): 212104.0
konto 2956 (Marie Efternamn1825, id 198209272387, kundnr 2956): 215028.0
konto 2957 (Fabio Efternamn3056, id 198209302390, kundnr 2957): 215028.0
konto 2958 (Erika Efternamn1826, id 198210022383, kundnr 2958): 215006.0
konto 2959 (Rita Efternamn1981, id 198210182385, kundnr 2959): 215006.0
konto 2960 (Leonard Efternamn1247, id 198210232396, kundnr 2960): 212104.0
konto 2961 (Kenny Efternamn2552, id 198211252393, kundnr 2961): 212104.0
konto 2962 (Ingeborg Rebecka Efternamn1969, id 198301112382, kundnr 2962): 325010.0
konto 2963 (Eliza Efternamn3881, id 198301162387, kundnr 2963): 325010.0
konto 2964 (Eliza Efternamn1829, id 198301252386, kundnr 2964): 212104.0
konto 2965 (Dilara Efternamn3275, id 198302282382, kundnr 2965): 212104.0
konto 2966 (Kjell Efternamn3842, id 198303052396, kundnr 2966): 325010.0
konto 2967 (Majne Efternamn2704, id 198303222395, kundnr 2967): 215006.0
konto 2968 (Claes-Göran Efternamn1238, id 198304172391, kundnr 2968): 215016.0
konto 2969 (Disa Efternamn2137, id 198304292389, kundnr 2969): 212104.0
konto 2970 (Albert Efternamn1797, id 198305102397, kundnr 2970): 212104.0
konto 2971 (Abel Efternamn3853, id 198305222393, kundnr 2971): 325010.0
konto 2972 (Kristoffer Efternamn2702, id 198306092399, kundnr 2972): 324024.0
konto 2973 (Albin Efternamn3635, id 198306192397, kundnr 2973): 215024.0
konto 2974 (Alvina Efternamn2703, id 198306262380, kundnr 2974): 324024.0
konto 2975 (Gustav Efternamn2704, id 198307152390, kundnr 2975): 215028.0
konto 2976 (Ellinore Efternamn2873, id 198406232382, kundnr 2976): 325010.0
konto 2977 (Ulla Åsa Efternamn2697, id 198611062384, kundnr 2977): 215032.0
konto 2978 (Elisif Efternamn1945, id 198801202386, kundnr 2978): 215028.0
konto 2979 (Tora Efternamn2306, id 198809282380, kundnr 2979): 215028.0
konto 2980 (Emilio Efternamn1333, id 198904172395, kundnr 2980): 215028.0
konto 2981 (Svante Efternamn2999, id 198905112390, kundnr 2981): 215028.0
konto 2982 (Urban Efternamn2317, id 198301302397, kundnr 2982): 325016.0
konto 2983 (Simon Efternamn1234, id 198302052397, kundnr 2983): 215028.0
konto 2984 (Lennart Efternamn3047, id 198308032393, kundnr 2984): 324024.0
konto 2985 (Mille Efternamn1800, id 197912092397, kundnr 2985): 215024.0
konto 2986 (Kalle Mateo Efternamn1010, id 197702282398, kundnr 2986): 324024.0
konto 2987 (Kristin Efternamn2719, id 197703162383, kundnr 2987): 215028.0
konto 2988 (Mats Olov Efternamn2408, id 193808319192, kundnr 2988): 215024.0
konto 2989 (Jan Arnold Efternamn3838, id 194611213010, kundnr 2989): 215027.0
konto 2990 (Ann Sibylle Efternamn3740, id 194809132386, kundnr 2990): 215020.0
konto 2991 (Pia Maria Efternamn2678, id 195002192382, kundnr 2991): 215025.0
konto 2992 (Win Efternamn2416, id 195401024053, kundnr 2992): 215024.0
konto 2993 (Lisa Efternamn2798, id 195702182568, kundnr 2993): 215024.0
konto 2994 (Inga Margaretha Efternamn3851, id 195707102801, kundnr 2994): 215020.0
konto 2995 (Gudrun Efternamn2317, id 196409053086, kundnr 2995): 325016.0
konto 2996 (Ole Harald Efternamn1819, id 196502103614, kundnr 2996): 324023.0
konto 2997 (Olga Petronella Olivia Inga Efternamn3031, id 196811022380, kundnr 2997): 215027.0
konto 2998 (Per Efternamn2678, id 197001239297, kundnr 2998): 215020.0
konto 2999 (Petronella Efternamn2854, id 197207139283, kundnr 2999): 325010.0
konto 3000 (Oscar Efternamn2405, id 197601262392, kundnr 3000): 215028.0
konto 3001 (Anton Michel Efternamn1394, id 197603152393, kundnr 3001): 212104.0
konto 3002 (Agnes Efternamn1441, id 197608012386, kundnr 3002): 215006.0
konto 3003 (Antonio Efternamn2581, id 197612132394, kundnr 3003): 215028.0
konto 3004 (Hama Efternamn3098, id 200611202383, kundnr 3004): 215028.0
konto 3005 (Jan Alexander Timo Efternamn1913, id 200701252397, kundnr 3005): 215016.0
konto 3006 (Torsten Efternamn2183, id 198004022391, kundnr 3006): 215016.0
konto 3007 (Anna Efternamn3617, id 198105172384, kundnr 3007): 215028.0
konto 3008 (Karin Efternamn2678, id 198105312386, kundnr 3008): 325016.0
konto 3009 (Glen Efternamn3865, id 198106292397, kundnr 3009): 212104.0
konto 3010 (Jakob Efternamn1437, id 198111172394, kundnr 3010): 212104.0
konto 3011 (Hans Efternamn1628, id 198201142398, kundnr 3011): 215028.0
konto 3012 (Tim Efternamn2854, id 198202152396, kundnr 3012): 212104.0
konto 3013 (Joar Efternamn1187, id 198011192393, kundnr 3013): 212104.0
konto 3014 (Agneta Efternamn1369, id 197705242381, kundnr 3014): 215028.0
konto 3015 (Jill Efternamn3335, id 197706052383, kundnr 3015): 215028.0
konto 3016 (Tyra Efternamn2943, id 197706122384, kundnr 3016): 212104.0
konto 3017 (Axel Efternamn3708, id 197706202392, kundnr 3017): 324023.0
konto 3018 (Lena Efternamn3127, id 197707172388, kundnr 3018): 215028.0
konto 3019 (Willy Efternamn1285, id 197708042390, kundnr 3019): 215028.0
konto 3020 (Lisa Efternamn3264, id 197708162388, kundnr 3020): 215028.0
konto 3021 (Nichlas Efternamn1787, id 197710209318, kundnr 3021): 215024.0
konto 3022 (Maria Efternamn3718, id 197712032387, kundnr 3022): 215024.0
konto 3023 (Elvis Efternamn2874, id 197809212397, kundnr 3023): 215028.0
konto 3024 (Hans Efternamn3326, id 197811102396, kundnr 3024): 215006.0
konto 3025 (Josefine Efternamn2569, id 197901222385, kundnr 3025): 212104.0
konto 3026 (Gina Efternamn3312, id 197906142380, kundnr 3026): 215028.0
konto 3027 (Tobias Efternamn3293, id 198007302394, kundnr 3027): 215028.0
konto 3028 (Josefin Efternamn1382, id 198009242382, kundnr 3028): 212104.0
konto 3029 (Peter Efternamn2190, id 198104152395, kundnr 3029): 215028.0
konto 3030 (Juni Andrea Efternamn3475, id 198108012389, kundnr 3030): 215028.0
konto 3031 (Mats Efternamn2704, id 197801022398, kundnr 3031): 215028.0
konto 3032 (Heinz Efternamn1431, id 197804132392, kundnr 3032): 215028.0
konto 3033 (Anna Efternamn3687, id 197804282387, kundnr 3033): 212104.0
konto 3034 (Klara Efternamn2508, id 197806092388, kundnr 3034): 212104.0
konto 3035 (Mats Efternamn2757, id 197901212394, kundnr 3035): 215028.0
konto 3036 (Irene Efternamn1832, id 197902032387, kundnr 3036): 215028.0
konto 3037 (Oskar Efternamn3885, id 197902082390, kundnr 3037): 215028.0
konto 3038 (Hjalmar Efternamn2695, id 197905182395, kundnr 3038): 212104.0
konto 3039 (Måns Roger Efternamn1756, id 197909132396, kundnr 3039): 215028.0
konto 3040 (Anna Efternamn1839, id 197703302385, kundnr 3040): 215006.0
konto 3041 (Gösta Sture Efternamn1482, id 194003137033, kundnr 3041): 215020.0
konto 3042 (Assar Efternamn1218, id 194308124694, kundnr 3042): 325016.0
konto 3043 (Stavros Efternamn1133, id 195205162331, kundnr 3043): 212103.0
konto 3044 (Anna Efternamn3834, id 195303282387, kundnr 3044): 215028.0
konto 3045 (Johanna Nina Efternamn2854, id 195401020945, kundnr 3045): 215020.0
konto 3046 (Alexander Efternamn2141, id 195901022995, kundnr 3046): 215025.0
konto 3047 (Daniel Efternamn2717, id 197103011032, kundnr 3047): 215024.0
konto 3048 (Ingrid Maria Efternamn3923, id 197307109293, kundnr 3048): 215025.0
konto 3049 (Birgit Larissa Efternamn2392, id 197510012383, kundnr 3049): 215020.0
konto 3050 (Lena Efternamn3326, id 200804292381, kundnr 3050): 215006.0
konto 3051 (Moni Efternamn1465, id 199207182388, kundnr 3051): 215028.0
konto 3052 (Xantippa Maria Kristina Efternamn1877, id 199401024543, kundnr 3052): 212103.0
konto 3053 (Totte August Efternamn2914, id 199403272397, kundnr 3053): 325010.0
konto 3054 (Thomas Efternamn1188, id 199908122394, kundnr 3054): 212104.0
konto 3055 (Marlene Maria Efternamn2834, id 200009092388, kundnr 3055): 215025.0
konto 3056 (Anton Efternamn1574, id 198310042398, kundnr 3056): 324024.0
konto 3057 (Sanna Efternamn2331, id 198311022381, kundnr 3057): 215024.0
konto 3058 (Maya Efternamn3427, id 198908132387, kundnr 3058): 215028.0
konto 3059 (Vlado Efternamn1156, id 198910162398, kundnr 3059): 212104.0
konto 3060 (Chanel Efternamn2161, id 198411052387, kundnr 3060): 325010.0
konto 3061 (Therese Efternamn1042, id 198411222386, kundnr 3061): 212104.0
konto 3062 (Bengt Efternamn1964, id 198412072392, kundnr 3062): 324024.0
konto 3063 (Angelo Efternamn2346, id 198501232394, kundnr 3063): 324024.0
konto 3064 (Sanna Denize Efternamn3654, id 198507242389, kundnr 3064): 215028.0
konto 3065 (Björn Efternamn3458, id 198510282398, kundnr 3065): 324024.0
konto 3066 (Bruno Efternamn1003, id 198602102397, kundnr 3066): 215028.0
konto 3067 (Leonid Efternamn3405, id 198604092398, kundnr 3067): 215016.0
konto 3068 (Kattis Efternamn3421, id 198611042386, kundnr 3068): 215028.0
konto 3069 (Dilan Efternamn1017, id 198709302395, kundnr 3069): 215028.0
konto 3070 (Aron Efternamn1411, id 198803092397, kundnr 3070): 215028.0
konto 3071 (Elis Efternamn3537, id 198807112399, kundnr 3071): 215028.0
konto 3072 (Lana Efternamn3401, id 198812212382, kundnr 3072): 215028.0
konto 3073 (Roine Efternamn2564, id 198208112394, kundnr 3073): 212104.0
konto 3074 (Anna Efternamn1214, id 198209172389, kundnr 3074): 215028.0
konto 3075 (Sigrid Efternamn3683, id 198210062389, kundnr 3075): 212104.0
konto 3076 (Filip Efternamn3859, id 198301122399, kundnr 3076): 215006.0
konto 3077 (Kristian Efternamn2147, id 198305202387, kundnr 3077): 215016.0
konto 3078 (Emmi Efternamn2344, id 198501102381, kundnr 3078): 324024.0
konto 3079 (Ben Efternamn2852, id 198503042395, kundnr 3079): 324024.0
konto 3080 (Ethelé Efternamn1961, id 198503172382, kundnr 3080): 325010.0
konto 3081 (Signe Kristin Efternamn1048, id 198503272380, kundnr 3081): 215006.0
konto 3082 (Bertil Oskar Efternamn2697, id 198510192399, kundnr 3082): 212103.0
konto 3083 (Estrid Efternamn2135, id 198512222384, kundnr 3083): 324024.0
konto 3084 (Fatima Efternamn1185, id 198605132383, kundnr 3084): 324024.0
konto 3085 (Boel Efternamn1763, id 198610232384, kundnr 3085): 215028.0
konto 3086 (Suz Efternamn1198, id 198709222387, kundnr 3086): 215028.0
konto 3087 (Hedvig Efternamn3578, id 198802042385, kundnr 3087): 215028.0
konto 3088 (Eldin Efternamn3904, id 198805312397, kundnr 3088): 215028.0
konto 3089 (Ulf Efternamn2136, id 198902092397, kundnr 3089): 212104.0
konto 3090 (Rosalina Efternamn2747, id 198205172383, kundnr 3090): 215006.0
konto 3091 (Michelle Efternamn2535, id 198304062386, kundnr 3091): 215016.0
konto 3092 (Monica Efternamn3276, id 198304252383, kundnr 3092): 215028.0
konto 3093 (Aubert Efternamn3278, id 198305292396, kundnr 3093): 212104.0
konto 3094 (Isak Efternamn2861, id 198306142392, kundnr 3094): 215028.0
konto 3095 (Robert Efternamn2312, id 198306292395, kundnr 3095): 215028.0
konto 3096 (Agne Efternamn1416, id 198001092397, kundnr 3096): 215024.0
konto 3097 (Anna Efternamn2370, id 197602132388, kundnr 3097): 212104.0
konto 3098 (Tess Efternamn1265, id 197606032386, kundnr 3098): 324024.0
konto 3099 (Kurt Efternamn3865, id 200212222392, kundnr 3099): 215020.0
konto 3100 (Sauna Efternamn1455, id 200305052383, kundnr 3100): 215028.0
konto 3101 (Kirsi Efternamn1084, id 200805022381, kundnr 3101): 215028.0
konto 3102 (Mårten Efternamn2544, id 200806112397, kundnr 3102): 215028.0
konto 3103 (Berit Efternamn2152, id 200808052385, kundnr 3103): 215028.0
konto 3104 (Hugo Efternamn3729, id 195303231855, kundnr 3104): 215002.0
konto 3105 (Damina Efternamn2693, id 196207232882, kundnr 3105): 215029.0
konto 3106 (Zantra Efternamn1455, id 199804302389, kundnr 3106): 215028.0
konto 3107 (Josefin Efternamn3898, id 199906152385, kundnr 3107): 215006.0
konto 3108 (Barbro Eva Efternamn3052, id 198401102382, kundnr 3108): 215006.0
konto 3109 (Alvin Efternamn2333, id 198402052396, kundnr 3109): 325010.0
konto 3110 (Urban Efternamn1240, id 197911102395, kundnr 3110): 215028.0
konto 3111 (Helena Efternamn2678, id 197911252380, kundnr 3111): 325016.0
konto 3112 (Ossian Efternamn3231, id 197911302391, kundnr 3112): 215028.0
konto 3113 (Sanna Efternamn1799, id 197912042384, kundnr 3113): 215024.0
konto 3114 (Mavis Efternamn3857, id 197912082380, kundnr 3114): 215006.0
konto 3115 (Soolo Efternamn3283, id 197912152399, kundnr 3115): 215028.0
konto 3116 (Eirik Efternamn1985, id 197912182396, kundnr 3116): 215024.0
konto 3117 (Henry Efternamn1415, id 198001022394, kundnr 3117): 215028.0
konto 3118 (Diana Efternamn2359, id 198001032385, kundnr 3118): 215024.0
konto 3119 (Max Efternamn2854, id 198001312399, kundnr 3119): 212104.0
konto 3120 (Harry Efternamn3093, id 198002102393, kundnr 3120): 215028.0
konto 3121 (Norah Adela Efternamn2499, id 198003082388, kundnr 3121): 325010.0
konto 3122 (Caroline Zoe Efternamn1989, id 198004092386, kundnr 3122): 325010.0
konto 3123 (Johanna Efternamn1612, id 198005112381, kundnr 3123): 212104.0
konto 3124 (Wilma Efternamn3243, id 198006182383, kundnr 3124): 212104.0
konto 3125 (Toini Efternamn2903, id 198007022380, kundnr 3125): 215016.0
konto 3126 (Harald Efternamn1423, id 198007032397, kundnr 3126): 215024.0
konto 3127 (Yngve Efternamn2904, id 198007172391, kundnr 3127): 215006.0
konto 3128 (Erik Efternamn2547, id 198007182390, kundnr 3128): 215006.0
konto 3129 (Kenneth Ruben Efternamn3625, id 198008182399, kundnr 3129): 212104.0
konto 3130 (Viktoria Efternamn1207, id 198104192383, kundnr 3130): 325010.0
konto 3131 (Bo Efternamn1621, id 198104272391, kundnr 3131): 325010.0
konto 3132 (Måns Efternamn2554, id 198105062395, kundnr 3132): 324024.0
konto 3133 (Agne Efternamn1372, id 198105242393, kundnr 3133): 212104.0
konto 3134 (Julius Efternamn2555, id 198106092391, kundnr 3134): 212104.0
konto 3135 (Bert Efternamn2556, id 198107152392, kundnr 3135): 215028.0
konto 3136 (Mårten Efternamn3050, id 198107252390, kundnr 3136): 215028.0
